name	raga	seq
Aarabhi - Rey Rey Shree Ramachandhra - Geetham - Triputa	arabhi	ppmmpmgrsrmgrrs.d.drsrrsrmgrrsspmmpppmpmgrrmgrsrsss.drsrss.ds.d.d.d.p.p.m.p.dssrsrmgrrmgrmmpmpppppmpd's's'r'm'g'r's'r's's'sd'r's'r's'sd'sdddppmpd's's's'sdddppmpmgrrmgrsrs
AarukkuthaanTheriyum - Devamanohari - Adi - GopalakrishnaBharathi	devamanohari	pmrmrsr.d.NsrmpmrmrsrrmpdN'sNdNpmrsrrmpdN's'r'm'r'sNdNpmrsrrmpdN'sNdNpmrsrrmpdN's'r'm'r's'sNdNppmpmrsrmpdN's'r'm'r's'sNdNppmpmrsrmpdN's'r'mmpdN's's's'sNdNpmpdN's's's'r'm'r's'sNdNpmpdN's'r'r's'r'm'r's'sNdNpp's's's'sNdNppmpmrsrmpdNp'ss's'sNdNppmpmrsrmpdN's'r'mdNppmpmrsrmprmpddNpmrpmrsrmpdN's's's'sNdNpmpdN's's's'r'm'r's'sNdNpmpdN's'r'r's'r'm'r's'sNdNpp's's's'sNdNppmpmrsrmpdNp'ss's'sNdNppmpmrsrmpdN's'r'm
Abheri - GarudaGamana - Lakshana Geetham - Tisra Thriputa - Govindhaacharya	abheri	sGmpmpmGmGrs.N.d.p.NsGmGrsssGGmGrss.N.d.p.m.p.N.p.Ns.NsGmGrs.N.d.p.N.Ns.NsGGmpNdpmGrpmpmGrsrGmpN's's's'sNdpN'sNdpmpmpmGrsGmpmpNdpmGrsGGmGrs.N.d.p.Ns.NsGmpN's'sNdpmGrsGGmGrss
abhimAnamEnnaDu - kunjarI - Adi - Thyagaraja	kunjari	pp's'sNNdpmgrmggrsrmrmpprmp's'sNNdpmpp'r's'sNNdpdpdpmmgrmggrsrmrmpp's'r'm'g'r's'sNNdpmpp'sp's'r'r'r'm'g'r'm'g'g'rs's'r'm'r'sNdmpNddpmgpmmggrspmp'sp's'r'r'r'm'p'm'g'r'm'g'g'rs'p'p'r'sNdmpNddppmmgpmmgrsrmpppNddpmgrsrmggrsNdpNdpmggrssrsrmpmpdpmmpp's'sp's'r'r'r'm'g'r'm'g'g'rs's'r'm'r'sNdmpNddpmgpmmggrspmp's'sp's'r'r'r'm'p'm'g'r'm'g'g'rs'p'p'r'sNdmpNddppmmgpmmgrsrm
Abhogi - Evvari Bodhana - Varnam - Adi - Patnam Subramanya Iyer	abhogi	rGGrssrss.d.m.d.m.ds.ds.dsrGmGGrsrGmGmrGsr.dsrGmdmds'sd'sdmdmGrs's'sddmddmGrGmrGsrGmmdmGrGmdd'sd's'r's'r'G'm'r'G'm'G'G'r's'r'G'r's'rd'r's'sdmdmGrsrGmrGsrGsrs.d.m.ds.dsrrGsrmdmGrsrGmGmdmd's'r'G's'r'G'm'G'r'G'r'sd'r'sdmGrsmdmdd'sdmdd'sd'sddmGmGrsrGsrGmdmd'sdmGrsrGmd'sdmdmGrGmGrs.dsrGmd'sdmGrsrGd'sdmGrGmdmGrGsrsrGmd's'r'G'r'sdmGrsrGs's's'r'G's'r'r'sdmd'sdmGrGs's's'r'G's'r'r'sdmd's'sd'r'sd'sdmGrsrGmd's'r'G'm'r'G'r'sd's'r'sdmd'sdmGrsrG
Abhogi -Jathiswara - Adi	abhogi	sd'sdmGrsrGsd.srGmdmdd's'r'sd'G'r'sdGmdmd's.sdmGrsrGmddd'sdmGrsrGmdd'srmd'ssrGmdd'sd'r'sd'G'r'sdmd'sdd'sddmGmdddmGrsr.dsrGsrGmrGmdGmd'smd's'rd's'r'G'm'G'r'G'r'r'sd'r'sd'r's'sdm'sdmsrGmd's'sddmmGGrrG.s.dsrGmsrGmd's's'G'r'sd'sdd'r'sdmdmm'sdmGrsrGsrGmdsrGmrGmdGmd'smd's'r's'r'G'G'r'r'sdds’'G'r'sdm'G'r'sdm'G'r'sdm'r'sdmd'sdmGr'sdmGrsrGmd
Abhogi - Jathiswaram - Adi - Mysore Vasudevacharya	abhogi	sd'sddmmGGrrsmGrsrGmdss.drsdmmdmGrs.dsrGmdmd'smdmGrsmGrsmGrGmdmd'sdmd'sdmd's'r'sdmd'r'sdmGrGmdmdmGmGrs.dsmdmd'smd's'r'GmGmGrssrGmd's'r'G's'rd'smdmGmd'smdGmrGsGrmdGmrGsr.drsGmrGsr.ds.m.ddmd'sddmGmdmmGrGsrrrGsr.d.dssmmddmmmdd's'sd's's'm'm'G'G'm'm'm's'sdd
AdamOdigaladhA - chArukEshi - Adi - thyagarAja	charukeshi	pDpmgrgsrgmpmpDNDpmgrrgmgrsrgmpmpDN'sNDpmgrrgmgrsrgmpmpDN's'r'sNDpmgrrgmgrsrgmpmpDN's'r'g'r'sNDpmgrrgmgrgspDNDN's'sNDpmpDNDNDN'sDN'sDN's'r'sNDpmpDNDNDN's'r'g'm'g'r'g'r's'r'sNDNDpmpDNDN's'r'g'm'm'g'g'r's'r'g'r's'sNDN's'sNDpmpmgrsrgmppppmgmgrgmgmgrssrgmpmgmmgrsssrgmpppppDNNDN's'r'g'm'm'g'g'r's'r'g'r's'sNDN's'sNDpmpmgrsrgm
AdhaDHEllA oLithE Ayithu - poorvikalyANi - Adi - Purandaradasa	poorvikalyani	ppppMgRpMMgRsppppMggMdMgRsgMdp's's's's'sndnMd's'sndpppgMdMgRgMppppppMgMRgMpMpdp'R's'Rd's's's's's'sn'R'sd'sndnMd's'sndppgMdMgRgM
Adhipureeshwaram sadhA bhajEham - Arabhi - Adi - MuthuswamiDikshithar	arabhi	mpdpmpmgrsrsrs.n.dmgrpmppd'sdppmmgrsrsrs.n.dmgrmpdmpd'r'sndppmgrrsrsrs.n.dmgrmpd'r's'r'snd'sdpmpdpmgrrss.n.drmgrmppmpd'snd's'r'r's'sndd'r'spmpd'snd's'r'm'g'r's'sndd'r's'm'g'r'snd'r's'r'sndp'sndprpmgrss.n.d.p.dssrpmgrmmpd'r'sndmmpd'sdpmgrmpddpmpddppmgrsr.dsr.p.dsr.dsrmpd'sd's'r'm'g'r'r'sndd'rd's'rpd'smpd'sdpm
