name	raga	seq
Abhogi Kanada	abhogi kanada	srGmd's'sdmGrGmrsr.d.dsrmdssr.dsrGmGmrsGmrsGmrsmGrssr.dsrGmGmd's'sdmdmGrGmrsr.dsrGmrs
Adana	adana	mpDN's'sDN's'sDNpmpGmrssrmpDN's'sDNpmpGmrsGmrs'sNpmGmrssrmpDNpmp'sDNpmpGmrs
Aheer Bhairav	ahir bhairav	gmpdNdpdp'sNdNdpmgmgmpmRRs.N.d.NRRssRgmpdN's'sNdpmgRs'sNdpmgmRss.N.d.NRRsRgmgmpdpmgmRRsgmpdNNdN's's'R'sN'sNdpdpmggmpmRRs.N.d.NRRsgmpgMRRs
Alhaiya Bilawal	alhaiya bilawal	sgp'spggrgpdNdpmgrgpdn'ssrgpdn's'sndpdNdpmgrs'sndpdNdpsrggmrgppmgrgrsgmrgpdgmggpdmggpdn's's'r's'sndpdn's'sndpdNdpdgmgrsN'sndpdNdp'sndpmgrs
Bageshree	bageshri	smd'sdmG.NsmsGmGrs.N.dmdNdmGrssrGmdN's'sNdmpdmGrs.Nssrs.N.Ns.N.d.m.d.N.ds.d.NsmmGGrs.N.NsmmGmdNdmmpdmmGrsGmd'sdNdmd's'r'sNdmmpdmmGrsGmdNdN'sN'sNN'r's'r's's'r'sN'sdNd'smddNdmmpdmmGrs.Ns.NsmGrssGmGrsrGmGrssrGmmGrs.N.NssmmpdmmGrsdNsmmmGGmdGmNNdmdNdmpdm
Bahar	bahar	smpmGmNpmmNdn'sNpmpmGmrssrsmpmGmdn's'sNpmGmrs.nsGmrspmGm
Bairagi	bairagi	sRmpmpNpmRRpmRs.NsRssRmpN's'sNpmRs.NsRmpNmNpNpmpmR.NsRmpNpmpNN'sNpN's'R's'R'sN'R'sNpmpmRs.NsRs
Bairagi Todi	bairagi todi	sRp.NsRGGR.N.p.NRssRGpN's'sNpGRssRGGRsRGpRGRssRGpNpGRGpN'sN's'R's'sNpNpGRGRs.Ns.p.NsRs
Basant	basant	MD'R'sn's'RnDpgMDnMgMDgMgMgMgRssgMDn's'snDpMgMnDMgRssmmgs.nRssgMpMpMgMgMgRsMDnDpgMDnMgpMgMgMgRsMD'R's'RnDpMpMgMggMnMgpMgMgRssmmgmD'R'sn'R's'RnDppMgMg
Basant Mukhari	basant mukhari	sRggmpmpDNDpmpmgmgRRs.N.D.NsRRgmgRsgmRssRgmpDN's'sNDpmgRs.NssRgmpDN'sRRsRgggmmgmppmpDNNDpmgRgmpmND'R'sDNDppmgmRgmpmgmRRs.N.D.NsRgmgpmgRs
Bhairav	bhairav	smpD'sDpRRRsDDpgmDDpgmRRs.nssRgmpDn's'snDpmgRsRRsDDpmpgmpgpmgmRRs.nsRsgmnDDn'sn's'R'R'sDDpmpgmpgmppmgmgmpgmRs.D.nsRRgmDmppmpDpDnDn's'R'R'g'm'R'snDpDDpmpmgmpmmRRssgmDpgmDn's'snDppmgmRRsgmRs
Bhairavi	bhairavi	smp'spmGsRsGmpDmDN's'R'sDpGmRssRGmpDN's'sNDpmGRsRGRGsRsGmppDppDNDmDpGmpmGmRRs.DssGmppDpmMmGRssGRmGsGpmGsRs.NR.N.D.N.D.p.p.D.N.Ds
Bhatiyar	bhatiyar	smpdmssmppgRssdndnpdmpgpgRsMd'ssRssmmdpsddnpmpgMd's's'RndpdnpmpgRssdnpdmpgndnpdmsmmpmdpmpgpgRssddnpdmdpgpgRsMd's'sn'RndpdnpdmdpgRss.n.ds.nRgmdpgpgRs
Bheem	bheem	.NsgmpN's'sNdpmgpmgmrs.Ns.p.Nssgp'spg.Nsgmp'sNp'sN's'spdpdmpgmr.Ns'sgmp'sN's'spdpgmrsmgrsgmpN'sNdpgmrs.NsgmpNp'sN's'spdpdmpgmrsr.Ns.p.Nsgmrs
Bheempalasi	bhimpalasi	smp'spm.NsGmpNdp'sNdpmGrs.NsGmpN's'sNdpmGrs.Ns.p.NsGmpN'sN'sN'ss.N.Ns.NsGrsrs.N.N.Ns.p.NsGGmGrssGmmGppmdpmGmmGpmpmGmGmpGmGGrs.NsmpmGGrssGmpmGppmdpNdppmdpmpmGmpN'sNNNN'spp'sN'r's's'r'sNN'sNdppdpmGpmGmGrs
Bhoopal Todi	bhoopal todi	sGpDDpGss.DsRGDpGRGRssRGpD's'sDpGRs.DRss.Ds.DRRssRGRsRRGRGpRRGGpDpD'sDppRGRsGRRGRs
Bhoopali	bhoopali	grgpgdp'sdpgpgrggrssrgpd's'sdpgrsr.dsss.dsrgrgsr.dssrgppgrgrpggsrr.dsgrgpgpdppdpgprgrs.dssrgrgpd'spdp's's's'r'sd'sd's'r'g'r'sd'sdpgrgprgrsr.ds
Bihag	bihag	sgpn'snpg.nsggmgpMpgmgpMgmgrssgmpn's'sndpMpgmgrs'sndpMgmgrspMgmgMpgmgMpdMpgmgpMdpMpgmgMpMpdgmgMpn'sndp.nsgmpn'sMgmgpdpMgmg'sndpmgrspmgrsMpgmgndpMpgmgMpdMpgmgpMgmgmgrs
Bihagda	bihagda	gmnsgmpmpgrsgmNdpgmggmpn's'snpdNdpgmgmpmpgrssgmpn's'sndppdNdpgmgpmgrssgmpn'ssgmpdn'sgrsndpgmNdpgmggmpdNdpgmgpmgrspn's'snpNdpgmgs.n.nss.n.d.p.p.ns.nsggmgrssggmpmpgrssgmddpgmpmpgrsgmpdNdpgmggmpn'sndpdn'snpdNdppdgmgpmgrsgmNdpgmp'sn's'g'r's's'r'sndpNdpgmggmpmpgrs
Bilaskhani Todi (or Vilakshani Todi)	bilaskhani todi	sGpDDpGssR.N.DssRGRGppDNDDmGRGRssRGpD's's'RNDppDNDmGRRGRssRGppDppDNDmGRRGRs'RNs'R'GR.NsR's'RNDD's'R'G'RNDGpDmGRGR.N.DssRGpDmGRGRGRsR.N.DssRGpDNDpGpD's's'RNDD's'R'RN's'R'G'G'RNDpDNDmGRGRs
Chandrakauns	chandrakauns	smn'snmsGmGs.n.nsGmDn'snD'snDmGmGs.nssGmDn's'snDmGmGs.ns.n.D.nsGmDn'smDmnn's'g'sn'snnDmDnDmmGmGsmGs.nsGmGs.n.ns
Charukeshi	charukeshi	srgmpDN's'sNDpmgrs.D.NsrgmpD.D.NsrgmgrrgmDprgmrsgmDppDNDmgrsrgmgmDpN's'r'sDDN'r'srgmrsmgrgrs.N.DssrgmrgmrsgmDpmgrgmpDN'sgmDNN'sN's'r'sDDN'r'sN'sNDppDNDmgrgmrs.N.D.NrsmpDN's'r's'r'g'r'g'rND's'sNDpDmgrgmDpgmrs.N.D.Nrs
